19:50:51.240 > 100
19:50:51.244 > 1023
19:50:51.252 > Analog Read: 1023
19:51:05.706 > Set Direction to 0
19:51:05.726 > Set Direction to 1
19:51:05.902 > Set Direction to 0
19:51:05.923 > Set Direction to 1
19:51:06.672 > Set Direction to 0
19:51:06.693 > Set Direction to 1
19:51:07.512 > Set Direction to 0
19:51:07.885 > Set Direction to 1
19:51:08.908 > Set Direction to 0
19:51:09.359 > Set Direction to 1
19:51:09.552 > Set Direction to 0
19:51:10.121 > Set Direction to 1
19:51:10.436 > Set Direction to 0
19:51:10.457 > Set Direction to 1
19:51:10.862 > Set Direction to 0
19:51:11.071 > Set Direction to 1
19:51:11.092 > Set Direction to 0
19:51:15.785 > Set Direction to 1
19:51:15.806 > Set Direction to 0
19:52:44.187 > Set Direction to 1
19:52:44.208 > Set Direction to 0
